ToM HJD (+2400000);E(GCVS);O-C;AAVSO;ADS;ASAS;BAV;CDB;GEOS;KWS;type;source;observer;reference
5427,3000;-4710;-1,90;;-1,90;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
16666,7400;-2455;-0,16;;-0,16;;;;;;pg;ADS;Oosterhoff;Oosterhoff, 1960
16666,7600;-2455;-0,14;;-0,14;;;;;;pg;ADS;Martin, Plummer;MNRAS jan 1916
16716,3920;-2445;-0,34;;-0,34;;;;;;vis;ADS;;Szabados 1977
17065,2590;-2375;-0,31;;-0,31;;;;;;vis;ADS;;Szabados 1977
17353,6000;-2317;-1,01;;-1,01;;;;;;pg;ADS;Blazhko;AN 4196, band 175, 1907
17353,6000;-2317;-1,01;;-1,01;;;;;;vis;ADS;;Szabados 1977
17354,3000;-2317;-0,31;;-0,31;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
17399,0970;-2308;-0,37;;-0,37;;;;;;vis;ADS;;Szabados 1977
17613,3410;-2265;-0,41;;-0,41;;;;;;vis;ADS;;Szabados 1977
17777,7100;-2232;-0,50;;-0,50;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
17782,8090;-2231;-0,38;;-0,38;;;;;;vis;ADS;;Szabados 1977
18031,9190;-2181;-0,44;;-0,44;;;;;;pg;ADS;;Szabados 1977
18031,9300;-2181;-0,43;;-0,43;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
18032,1350;-2181;-0,23;;-0,23;;;;;;pg;ADS;Kukarkin, Parenago;MmSAI 1955
18032,1600;-2181;-0,20;;-0,20;;;;;;pg;ADS;Oosterhoff;Oosterhoff, 1960
19716,5740;-1843;-0,20;;-0,20;;;;;;pg;ADS;;Szabados 1977
19870,9500;-1812;-0,31;;-0,31;;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
20040,4800;-1778;-0,22;;-0,22;;;;;;pg;ADS;E. Hertzprung;BAN, 13, 1922
20050,4600;-1776;-0,20;;-0,20;;;;;;pg;ADS;Oosterhoff;Oosterhoff, 1960
20070,3900;-1772;-0,21;;-0,21;;;;;;pg;ADS;;Szabados 1977
